57603224|1|99999999|0|2024/07/25 15:21:49|2024/07/25 15:28:11||382|f90030a6-0109-44c3-806d-2b66a438ce3b
57603225|2|99999999|0|2024/07/25 14:22:43|2024/07/25 14:28:00||317|32222d3c-8721-4fd4-a6f8-3bd3906be545
57603226|3|99999999|0|2024/07/24 17:37:51||||0f2abdf5-598a-4f06-92b0-4f33eef65f2b
57603227|4|99999999|0|2024/07/24 17:36:26||||975e92d3-111d-41ca-a4f8-a91c206a5d40
57603228|5|99999999|0|2024/07/24 16:25:37|2024/07/24 16:29:43|8|246|6ff2499b-e384-4e12-a8a8-c2a37dea1edf
57603229|6|99999999|0|2024/07/24 16:16:13|2024/07/24 16:22:34|40|381|136d3fa9-35f4-464e-9294-c34592586132
57603230|7|99999999|0|2024/07/24 16:04:08|2024/07/24 16:11:53||465|65475100-b6cc-49b1-b1c9-d972597c7bfb
57603231|8|99999999|0|2024/07/24 15:20:31|2024/07/24 15:23:54|40|203|12eae1d2-95c7-499b-8046-e27e9b13de17
57603233|9|99999999|4|2024/07/25 15:21:49|2024/07/25 15:28:11|4|382|f0030a6-0109-44c3-806d-2b66a438ce3ba
57603234|10|99999999|2|2024/07/25 15:21:49|2024/07/25 15:28:11|4|382|f90030a6-0109-44c3-806d-2b66a438ce3ba
